,Gender,Survived
0,1,0
1,0,1
2,0,1
3,0,1
4,1,0
5,1,0
6,1,0
7,1,0
8,0,1
9,0,1
10,0,1
11,0,1
12,1,0
13,1,0
14,0,0
15,0,1
16,1,0
17,1,1
18,0,0
19,0,1
20,1,0
21,1,1
22,0,1
23,1,1
24,0,0
25,0,1
26,1,0
27,1,0
28,0,1
29,1,0
30,1,0
31,0,1
32,0,1
33,1,0
34,1,0
35,1,0
36,1,1
37,1,0
38,0,0
39,0,1
40,0,0
41,0,0
42,1,0
43,0,1
44,0,1
45,1,0
46,1,0
47,0,1
48,1,0
49,0,0
50,1,0
51,1,0
52,0,1
53,0,1
54,1,0
55,1,1
56,0,1
57,1,0
58,0,1
59,1,0
60,1,0
61,0,1
62,1,0
63,1,0
64,1,0
65,1,1
66,0,1
67,1,0
68,0,1
69,1,0
70,1,0
71,0,0
72,1,0
73,1,0
74,1,1
75,1,0
76,1,0
77,1,0
78,1,1
79,0,1
80,1,0
81,1,1
82,0,1
83,1,0
84,0,1
85,0,1
86,1,0
87,1,0
88,0,1
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,0
95,1,0
96,1,0
97,1,1
98,0,1
99,1,0
100,0,0
101,1,0
102,1,0
103,1,0
104,1,0
105,1,0
106,0,1
107,1,1
108,1,0
109,0,1
110,1,0
111,0,0
112,1,0
113,0,0
114,0,0
115,1,0
116,1,0
117,1,0
118,1,0
119,0,0
120,1,0
121,1,0
122,1,0
123,0,1
124,1,0
125,1,1
126,1,0
127,1,1
128,0,1
129,1,0
130,1,0
131,1,0
132,0,0
133,0,1
134,1,0
135,1,0
136,0,1
137,1,0
138,1,0
139,1,0
140,0,0
141,0,1
142,0,1
143,1,0
144,1,0
145,1,0
146,1,1
147,0,0
148,1,0
149,1,0
150,1,0
151,0,1
152,1,0
153,1,0
154,1,0
155,1,0
156,0,1
157,1,0
158,1,0
159,1,0
160,1,0
161,0,1
162,1,0
163,1,0
164,1,0
165,1,1
166,0,1
167,0,0
168,1,0
169,1,0
170,1,0
171,1,0
172,0,1
173,1,0
174,1,0
175,1,0
176,1,0
177,0,0
178,1,0
179,1,0
180,0,0
181,1,0
182,1,0
183,1,1
184,0,1
185,1,0
186,0,1
187,1,1
188,1,0
189,1,0
190,0,1
191,1,0
192,0,1
193,1,1
194,0,1
195,0,1
196,1,0
197,1,0
198,0,1
199,0,0
200,1,0
201,1,0
202,1,0
203,1,0
204,1,1
205,0,0
206,1,0
207,1,1
208,0,1
209,1,1
210,1,0
211,0,1
212,1,0
213,1,0
214,1,0
215,0,1
216,0,1
217,1,0
218,0,1
219,1,0
220,1,1
221,1,0
222,1,0
223,1,0
224,1,1
225,1,0
226,1,1
227,1,0
228,1,0
229,0,0
230,0,1
231,1,0
232,1,0
233,0,1
234,1,0
235,0,0
236,1,0
237,0,1
238,1,0
239,1,0
240,0,0
241,0,1
242,1,0
243,1,0
244,1,0
245,1,0
246,0,0
247,0,1
248,1,1
249,1,0
250,1,0
251,0,0
252,1,0
253,1,0
254,0,0
255,0,1
256,0,1
257,0,1
258,0,1
259,0,1
260,1,0
261,1,1
262,1,0
263,1,0
264,0,0
265,1,0
266,1,0
267,1,1
268,0,1
269,0,1
270,1,0
271,1,1
272,0,1
273,1,0
274,0,1
275,0,1
276,0,0
